
2024-03-29|12:41:08|Invoice Paid|John Doe| +1500.0
2024-04-13|12:41:24|Shoes|Nike| -200.0
2023-04-24|12:42:28|Direct Deposit|Job| +2000.0
2024-04-30|12:43:02|Food|Food Lion| -159.54
2024-05-01|11:41:16|Shoes|Jordan| -250.0
2024-03-23|10:45:17|Food|Burger King| -34.42
2024-04-16|09:20:05|Shopping|Amazon| -89.99
2024-05-01|15:30:45|Transportation|Uber| -25.00
2024-05-02|12:10:22|Entertainment|Netflix| -12.99
2024-04-03|08:55:30|Groceries|Walmart| -56.78
2023-04-16|08:20:45|Salary|XYZ Company| +5000.0
2023-05-02|11:30:22|Refund|Online Purchase| +50.0
2023-06-10|14:10:33|Bonus|Company Performance| +1000.0
2023-07-05|10:15:55|Reimbursement|Travel Expenses| +300.0
2023-08-20|09:30:10|Dividend|Stock Investment| +200.0
